"","Call_askPrice","Call_askQty","Call_bidprice","Call_bidQty","Call_change","Call_changeinOpenInterest","Call_expiryDate","Call_identifier","Call_impliedVolatility","Call_lastPrice","Call_openInterest","Call_pChange","Call_pchangeinOpenInterest","Call_strikePrice","Call_totalBuyQuantity","Call_totalSellQuantity","Call_totalTradedVolume","Call_underlying","Call_underlyingValue","expiryDate","Put_askPrice","Put_askQty","Put_bidprice","Put_bidQty","Put_change","Put_changeinOpenInterest","Put_expiryDate","Put_identifier","Put_impliedVolatility","Put_lastPrice","Put_openInterest","Put_pChange","Put_pchangeinOpenInterest","Put_strikePrice","Put_totalBuyQuantity","Put_totalSellQuantity","Put_totalTradedVolume","Put_underlying","Put_underlyingValue","strikePrice","current_time"
"277","580.25","100","573","50","93.6999999999999","-19","30-Sep-2021","OPTIDXNIFTY30-09-2021CE15500.00","0","575.55","745.5","19.4458856490609","-2.48528449967299","15500","12600","17200","435","NIFTY","15824.05","30-Sep-2021","176.9","50","175.25","50","-74.15","457.5","30-Sep-2021","OPTIDXNIFTY30-09-2021PE15500.00","15.24","175.25","5668","-29.7313552526063","8.78034737549179","15500","18150","24150","2189","NIFTY","15824.05","15500",2021-07-23 01:22:42
"278","873","50","857.3","100","75.8","-23.5","30-Dec-2021","OPTIDXNIFTY30-12-2021CE15500.00","0","873","1353","9.50827897641745","-1.70722847802397","15500","2500","2050","225","NIFTY","15824.05","30-Dec-2021","339.8","50","338.5","200","-65","143.5","30-Dec-2021","OPTIDXNIFTY30-12-2021PE15500.00","18.01","339","5955.5","-16.0891089108911","2.46902959394356","15500","23250","12150","626","NIFTY","15824.05","15500",2021-07-23 01:22:42
"279","2308.05","1500","2152.75","75","0","0","22-Jul-2021","OPTIDXNIFTY22-07-2021CE13600.00","0","0","0","0","0","13600","6375","6300","0","NIFTY","15824.05","22-Jul-2021","0.05","5325","0","0","-0.1","0","22-Jul-2021","OPTIDXNIFTY22-07-2021PE13600.00","84.52","0.05","565","-66.6666666666667","0","13600","0","116400","3958","NIFTY","15824.05","13600",2021-07-23 01:22:42
"280","2386.5","100","2203.05","200","-60","20","28-Dec-2023","OPTIDXNIFTY28-12-2023CE15500.00","0","2340","43","-2.5","86.9565217391304","15500","500","300","20","NIFTY","15824.05","28-Dec-2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15500",2021-07-23 01:22:42
"281","632.95","4800","0","0","0","0","02-Sep-2021","OPTIDXNIFTY02-09-2021CE15500.00","0","0","0","0","0","15500","0","4800","0","NIFTY","15824.05","02-Sep-2021","234.95","4800","15","50","0","0","02-Sep-2021","OPTIDXNIFTY02-09-2021PE15500.00","0","0","0","0","0","15500","50","4800","0","NIFTY","15824.05","15500",2021-07-23 01:22:42
"282","276.9","900","273.45","1950","160.2","-2500","22-Jul-2021","OPTIDXNIFTY22-07-2021CE15550.00","0","277.15","1705","136.981616075246","-59.4530321046373","15550","397650","12450","14299","NIFTY","15824.05","22-Jul-2021","0.05","22575","0","0","-21.85","-7453","22-Jul-2021","OPTIDXNIFTY22-07-2021PE15550.00","11.65","0.05","13340","-99.7716894977169","-35.8437935843794","15550","0","547050","244809","NIFTY","15824.05","15550",2021-07-23 01:22:42
"283","291.55","300","288.7","250","110.05","-897","29-Jul-2021","OPTIDXNIFTY29-07-2021CE15550.00","0","288.65","835","61.6181410974244","-51.7898383371824","15550","20300","12000","3645","NIFTY","15824.05","29-Jul-2021","18.15","50","17.65","50","-66.65","5782","29-Jul-2021","OPTIDXNIFTY29-07-2021PE15550.00","12.56","18.15","9230","-78.5966981132076","167.691415313225","15550","106850","46300","44760","NIFTY","15824.05","15550",2021-07-23 01:22:42
"284","329.2","50","318.25","450","97.55","15","05-Aug-2021","OPTIDXNIFTY05-08-2021CE15550.00","0","329.65","41","42.0292977165015","57.6923076923077","15550","12350","11450","55","NIFTY","15824.05","05-Aug-2021","43.8","600","40.35","50","-77.75","350","05-Aug-2021","OPTIDXNIFTY05-08-2021PE15550.00","12.5","40.65","561","-65.6672297297297","165.876777251185","15550","13700","9900","998","NIFTY","15824.05","15550",2021-07-23 01:22:42
"285","387.45","450","273.75","450","0","0","12-Aug-2021","OPTIDXNIFTY12-08-2021CE15550.00","0","0","0","0","0","15550","5400","5850","0","NIFTY","15824.05","12-Aug-2021","76.55","600","57.95","300","0","0","12-Aug-2021","OPTIDXNIFTY12-08-2021PE15550.00","0","0","0","0","0","15550","6850","7950","0","NIFTY","15824.05","15550",2021-07-23 01:22:42
"286","598.8","4800","1.05","50","0","0","18-Aug-2021","OPTIDXNIFTY18-08-2021CE15550.00","0","0","0","0","0","15550","550","4800","0","NIFTY","15824.05","18-Aug-2021","187.5","4800","0.1","2250","0","0","18-Aug-2021","OPTIDXNIFTY18-08-2021PE15550.00","0","0","0","0","0","15550","2250","4800","0","NIFTY","15824.05","15550",2021-07-23 01:22:42
"287","436.8","50","415.45","50","103.5","56","26-Aug-2021","OPTIDXNIFTY26-08-2021CE15550.00","6.16","432.9","132","31.4207650273224","73.6842105263158","15550","7700","11950","103","NIFTY","15824.05","26-Aug-2021","116","150","108.05","50","-73.8","-109","26-Aug-2021","OPTIDXNIFTY26-08-2021PE15550.00","14.42","116.5","876","-38.7808723068839","-11.0659898477157","15550","13450","10600","1066","NIFTY","15824.05","15550",2021-07-23 01:22:42
"288","618.45","4800","0","0","0","0","02-Sep-2021","OPTIDXNIFTY02-09-2021CE15550.00","0","0","0","0","0","15550","0","4800","0","NIFTY","15824.05","02-Sep-2021","260.3","4800","0","0","0","0","02-Sep-2021","OPTIDXNIFTY02-09-2021PE15550.00","0","0","0","0","0","15550","0","4800","0","NIFTY","15824.05","15550",2021-07-23 01:22:42
"289","614.05","4800","0","0","0","0","09-Sep-2021","OPTIDXNIFTY09-09-2021CE15550.00","0","0","0","0","0","15550","0","4800","0","NIFTY","15824.05","09-Sep-2021","258.05","4800","0","0","0","0","09-Sep-2021","OPTIDXNIFTY09-09-2021PE15550.00","0","0","0","0","0","15550","0","4800","0","NIFTY","15824.05","15550",2021-07-23 01:22:42
"290","2244.5","1500","2107.6","2850","0","0","29-Jul-2021","OPTIDXNIFTY29-07-2021CE13650.00","0","0","0","0","0","13650","9550","9150","0","NIFTY","15824.05","29-Jul-2021","2.75","50","0.25","13500","0","0","29-Jul-2021","OPTIDXNIFTY29-07-2021PE13650.00","0","11.5","0","0","0","13650","17250","50","0","NIFTY","15824.05","13650",2021-07-23 01:22:42
"291","615.85","4800","0","0","0","0","16-Sep-2021","OPTIDXNIFTY16-09-2021CE15550.00","0","0","0","0","0","15550","0","4800","0","NIFTY","15824.05","16-Sep-2021","274.3","4800","0","0","0","0","16-Sep-2021","OPTIDXNIFTY16-09-2021PE15550.00","0","0","0","0","0","15550","0","4800","0","NIFTY","15824.05","15550",2021-07-23 01:22:42
